,branchNumber,type,openDate,id,iban,balance,currency,cust_id
513,1580,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_d72f8afd-c9c4-42bb-86da-eb56494876a0,,19431.16,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_74370c3b-41c4-41dd-9080-c570d069dcf0
514,1760,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_17b89259-871a-42fa-bc81-8cb3d2046e2d,,11511.52,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_222609b3-5714-4251-9e16-f3397fe7b8df
515,1760,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_b215d9c2-8fd3-4e0a-bea8-57f3988aee11,,11322.56,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_222609b3-5714-4251-9e16-f3397fe7b8df
516,1790,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_369a8a46-8724-4b01-90ea-531beefd5c48,,8167.7,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_1bb5ea9c-977f-4110-8225-a3a8d17eafd7
517,1790,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_b234ed90-16e7-4d7f-a06d-873321c3d565,,4735.12,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_1bb5ea9c-977f-4110-8225-a3a8d17eafd7
518,1790,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_22048127-2826-4a39-97d9-81c1512b7505,,262.85,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_027e1083-83bc-485e-96af-22b4aa3561ee
519,1790,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_dd421cbd-0cff-4877-86f2-fb67308f2ce6,,3678.02,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_027e1083-83bc-485e-96af-22b4aa3561ee
520,1790,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_09ef2aa7-2c67-46d2-ac20-94f561db2659,,1219.02,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_8751cdf5-1d47-4941-a6e4-576218525fe3
521,1790,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_c59d91d1-2f76-45e7-b8dc-9ab591b8ca81,,2601.76,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_8751cdf5-1d47-4941-a6e4-576218525fe3
522,11572,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_a3ffd64f-4964-4503-8ffb-f4e6279c1558,,25001.87,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_653935bf-bbee-428e-8890-0f8fad7528a3
523,11572,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_eee4e0a5-5ce3-4671-96d0-12865b4e0f71,,18707.9,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_653935bf-bbee-428e-8890-0f8fad7528a3
524,522,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_ab3a5148-767c-4059-9364-2ccac6268c8b,,12318.81,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_0ac4306b-63a1-4a10-a745-e4a33335e462
525,522,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_d3ee903d-d288-4bbc-8b16-4b025cad3987,,9412.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_0ac4306b-63a1-4a10-a745-e4a33335e462
526,15016,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f680d9bc-5434-4585-ad6d-13987834bc96,,49718.09,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_8f4f9c3e-2597-450c-9d00-96705725b2b9
527,15016,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_880d62fc-b23b-46fe-b9c7-7dde2f22d3c8,,26189.96,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_8f4f9c3e-2597-450c-9d00-96705725b2b9
528,658,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_5ebe6060-6874-4ded-b6e1-6105d24f09dd,,31172.69,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_269b82c8-7dda-4b7d-a253-44e725024de7
529,658,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_3d7571cb-0068-45fb-9c99-934fc2cbf86b,,11346.32,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_269b82c8-7dda-4b7d-a253-44e725024de7
530,1168,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_215c0fd6-574a-4f0f-9040-2c16ff24cddb,,54460.66,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_62460b88-6bef-4bfe-b575-b2bdc3de4b01
531,1168,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_7fe27432-c922-4748-8d50-5babfb8ffd10,,46709.32,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_62460b88-6bef-4bfe-b575-b2bdc3de4b01
532,335,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_0341005b-6d5f-41ae-aebb-33ca24a210b0,,1471.51,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_333952f3-81e5-479f-a223-2b5a0fabbbd8
533,335,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_fca4ff57-6be3-4069-a19b-4e8e5d939862,,117.02,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_333952f3-81e5-479f-a223-2b5a0fabbbd8
534,538,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_52efa70d-988b-41c5-840b-005263e44519,,6158.14,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_fcbe9749-80a1-48ee-b113-d8d29b1b738c
535,538,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_9d4a5c9e-c923-4433-915d-3bb363e2208f,,10540.34,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_fcbe9749-80a1-48ee-b113-d8d29b1b738c
536,12082,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_3f5060bf-ed9f-46a1-96ee-e24f092bfc15,,5220.19,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_be087e12-c054-4f26-9c2e-e99a55a7d58b
537,12082,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_587fac03-0528-4d74-982c-bf3623d6971c,,2638.78,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_be087e12-c054-4f26-9c2e-e99a55a7d58b
538,374,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_75c4a68a-29eb-4699-a1ce-77b4d328c14b,,22684.71,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_424d1a17-928f-4a25-8ae3-06bfada13ca5
539,374,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_99182d48-1d4d-4d5c-b0ab-5285b7228b44,,18588.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_424d1a17-928f-4a25-8ae3-06bfada13ca5
540,1791,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_0f71a908-7051-4f33-a3f1-242ead178d8f,,-10934.92,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_bf5f73af-46d1-497a-9550-0170c277167a
541,1791,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_40c32ad1-cecb-4364-b457-184f1e658c30,,22393.02,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_bf5f73af-46d1-497a-9550-0170c277167a
542,13974,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_5a3b5129-f848-46a9-b814-05d1b6ad530f,,12294.73,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5029cbb6-212b-4e78-a8e4-6e336db0fa29
543,13974,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_8ab82380-da5c-401f-85ac-23dbeaa00330,,32439.96,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5029cbb6-212b-4e78-a8e4-6e336db0fa29
544,12081,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_90dcb6a1-438e-40d0-9fa1-b613c245c71b,,43536.28,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_d56cd7b6-f71e-4711-9fd6-8d86ae060cfb
545,12081,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_706e50fa-8f62-4479-ae42-03adf6c8b3bc,,27291.68,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_d56cd7b6-f71e-4711-9fd6-8d86ae060cfb
546,1672,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_8ee6ab69-9f74-4961-9535-228cfbff9ba8,,47063.34,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5bc962b8-c3a8-498a-b72d-29917cba4552
547,1672,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_d2680641-4a31-493e-a242-7fadd0981fdd,,27528.6,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5bc962b8-c3a8-498a-b72d-29917cba4552
548,1580,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_fbb33fd5-4b44-447b-a67f-5d4f4085864e,,-4369.31,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_148857ca-377a-4685-b044-bbe58973499d
549,1580,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_462fafc1-e6b7-462b-899e-8aa32fc770fa,,31282.3,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_148857ca-377a-4685-b044-bbe58973499d
550,1968,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_15ecc496-7f51-47bc-9fd1-2db8750f6bee,,29452.19,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_402dbd46-b0d4-4c93-b1c1-2ba76d32230d
551,1968,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_d42f4e4e-4f1b-448c-aa63-dc08ec62d35a,,19285.34,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_402dbd46-b0d4-4c93-b1c1-2ba76d32230d
552,13974,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_68a4d94b-a02e-4f78-9dbc-436b9e4ee238,,7684.24,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_150e33a0-b4b4-42e3-b6c0-d3b222311fcf
553,13974,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_7529edaf-a276-45bc-a253-96cadcc9e094,,3923.94,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_150e33a0-b4b4-42e3-b6c0-d3b222311fcf
554,13974,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f3d15dad-a01b-4fca-9c57-74674ac12870,,9522.08,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_7d9b06e5-1623-49c6-83d1-449701811a4f
555,13974,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_de42dcf1-20bd-47be-a8d6-4349b37b1de4,,8169.36,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_7d9b06e5-1623-49c6-83d1-449701811a4f
556,1029,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_b790ee02-40c4-43e4-b9bb-7b919db2ff58,,1119.76,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_096cde1b-ab42-4a21-bee4-82cb7ce4b208
557,1029,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_6d506f4e-9897-4f5e-9d30-f9ca15f02d56,,3682.14,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_096cde1b-ab42-4a21-bee4-82cb7ce4b208
558,324,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_a3643430-2178-4ed5-9643-ae12bc9c2431,,0.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_99371f8c-46d9-4400-b627-088322b61919
559,324,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_9ed5157e-ce6c-473a-90c4-416d3f84f5c0,,0.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_99371f8c-46d9-4400-b627-088322b61919
560,324,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_44c2e625-0eb0-49d5-ae03-3de11ff879b7,,8193.95,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_44abe5cb-5e09-4c30-b26a-13c3cfd7e285
561,324,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_5068ddcb-aa57-4e02-8a24-e32f3ae5a342,,4284.3,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_44abe5cb-5e09-4c30-b26a-13c3cfd7e285
562,1672,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_a80de7c1-2a82-4c8d-bd7f-773a912b0037,,16889.74,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_aef389f4-a898-427c-9905-5eaf3f49fe09
563,1672,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_a1f6a560-c3c8-410f-ad25-438937b3c48f,,23857.6,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_aef389f4-a898-427c-9905-5eaf3f49fe09
564,1640,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_e4b0dc26-60a7-478f-a5a2-896463ac4854,,11516.75,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_61d18cea-6d56-4d11-97dd-089dcc7fb8c0
565,1640,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_a0f06173-0bd3-4795-8ecc-d659bdcb9b04,,11298.88,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_61d18cea-6d56-4d11-97dd-089dcc7fb8c0
566,1967,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_8162ce3d-a8ba-4870-ae76-24d4e8a51d31,,30331.76,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_454a7d34-d52a-4b29-a060-49225088cf06
567,1967,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_93b19893-bf1e-42fd-936c-828a1b97daa4,,16592.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_454a7d34-d52a-4b29-a060-49225088cf06
568,1967,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_d2be95f1-cc48-40a3-aebd-b329280796d0,,20356.83,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_4fef32a6-dedb-4193-9fef-f43b912ad038
569,1967,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f03b3bf8-63b0-4ae2-8b07-ecc4ee806b03,,13954.86,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_4fef32a6-dedb-4193-9fef-f43b912ad038
570,255,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_af80be13-00af-452f-9b8a-8e2c3235b42d,,41.6,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_731bd3ac-7c78-4445-a204-70d222ccc7e8
571,255,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_4a5d5aca-6708-4755-9a0e-cc95d7476f9f,,147.78,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_731bd3ac-7c78-4445-a204-70d222ccc7e8
572,31,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_e5d76a8f-c52e-4d13-84dc-3fb431c43528,,23434.6,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_f3e6f768-e81d-44f0-ad83-c3b729c8f9be
573,31,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_6ac19fa5-576b-4b5b-8454-afd83516bc74,,12655.6,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_f3e6f768-e81d-44f0-ad83-c3b729c8f9be
574,31,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_5c3710be-10f3-4f4b-bbe5-0dab862d3ecd,,11286.15,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5d577fb4-4b0b-4bcc-b701-91405c20e3d0
575,31,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_1f33f44b-b725-404e-bb26-0e696d05eed6,,14425.04,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5d577fb4-4b0b-4bcc-b701-91405c20e3d0
576,658,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_05a77b6a-ca52-4a7b-9be9-94d1cec9af0f,,13903.63,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_e3528a93-2f06-49b9-b580-7b92a90e9444
577,658,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_dc49149e-4f4c-4c33-8552-e11d772e314c,,35328.46,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_e3528a93-2f06-49b9-b580-7b92a90e9444
578,11679,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_7b7b2740-0410-49f7-8c16-085cd3aad9b0,,19948.08,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a51a18bc-eedf-44e1-bc3c-8e7855671004
579,11679,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_33ac1e2b-2776-4e85-9387-84251af1fdda,,17630.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a51a18bc-eedf-44e1-bc3c-8e7855671004
580,32,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_947eec65-33aa-4eaa-ba09-ccc8ea48dd1a,,29738.02,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_ce7cf23b-7536-4f96-b6a8-c9379af8bbf7
581,32,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_fbfd2d34-721f-4360-aa1e-b7cc246de0e0,,20377.6,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_ce7cf23b-7536-4f96-b6a8-c9379af8bbf7
582,538,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_1893a38a-db5f-46ab-8fa8-cd9c446acb88,,883.92,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5930027b-8050-452d-a363-c512fecf352d
583,538,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_761b161e-4615-4dca-890c-9c9b9d7e9d78,,2879.64,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5930027b-8050-452d-a363-c512fecf352d
584,1704,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_5bbbf637-c9b3-4142-bbf8-4bdae77a71ab,,2880.58,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_bccfdb9d-00e2-443f-9942-2763f2bfdbac
585,1704,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_ff9e48d3-ad2c-4bf0-9135-0bb63784b725,,6431.98,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_bccfdb9d-00e2-443f-9942-2763f2bfdbac
586,1246,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_3e7ce8b3-d5c2-4919-8d80-5d708fc5aa71,,30848.05,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_0d7256f3-bc6d-450d-ad46-3789ac02c323
587,1246,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_3db8916e-d144-4197-8259-099a8b53db6e,,31658.8,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_0d7256f3-bc6d-450d-ad46-3789ac02c323
588,12831,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_62e5c654-6dbf-48a7-8c9e-07b17d0fa8ed,,7349.76,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_fa491d8e-2b81-41e5-aab8-91317f4506c7
589,12831,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_d625d88f-b4a7-467c-83da-3e3f4b27a5c2,,14699.28,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_fa491d8e-2b81-41e5-aab8-91317f4506c7
590,1029,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_00c77a26-1cbc-42e7-87b1-47cc4f170e4a,,13848.46,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_c3e4a93f-2bac-4ab5-b9b7-2e1579b87d45
591,1029,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_3cdcbe99-7690-4a7a-b1e9-a4a1c810fbc2,,16226.4,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_c3e4a93f-2bac-4ab5-b9b7-2e1579b87d45
592,1144,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f683d2d6-a422-4c24-b518-6a60697bddb8,,32165.98,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_ffb2ffed-4eb8-4a29-b47d-dd9111e3ee61
593,1144,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_9ff1bb80-a862-41c3-a640-cb16c18f1a71,,73708.36,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_ffb2ffed-4eb8-4a29-b47d-dd9111e3ee61
594,374,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_d5c7a011-a345-4f3d-8cc1-86519437083c,,33716.41,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_65463e4b-9f23-47d3-98e0-4ca9c5bd70a4
595,374,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_ad1088d6-34f9-4e69-b485-a3eab3aa63b6,,26957.74,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_65463e4b-9f23-47d3-98e0-4ca9c5bd70a4
596,255,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_2ae0b7cb-ff83-4005-85b4-c2ce2a72dc7d,,29982.43,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_8aba9e31-8f66-41be-baa4-b37d5c80df66
597,255,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_4b8301d5-977d-4955-93c1-9f684fdd70ba,,7148.2,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_8aba9e31-8f66-41be-baa4-b37d5c80df66
598,32,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_1ffa85ac-5d62-43ba-b157-cc27f5503704,,4734.19,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_19af168b-88d1-4c66-b420-c70bf4f0ce34
599,32,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_b5e697c8-3d78-4d4b-9f62-4f3fcd2f3559,,16086.84,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_19af168b-88d1-4c66-b420-c70bf4f0ce34
600,1223,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_3e5ffe88-f2f1-403d-a032-3c20c9c29b20,,48577.37,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_6eb7b8d7-6153-42e9-ac46-82d4c17d7f51
601,1223,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_5380a3d7-5b15-442a-87b0-1806ec02820b,,35828.04,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_6eb7b8d7-6153-42e9-ac46-82d4c17d7f51
602,1800,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_13b3021d-b7b5-434f-b7ec-3624ec196421,,3943.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_554d797e-b024-469d-8244-14a3e72964fe
603,1800,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_efe78f9a-1217-4f31-a989-b8300942be17,,2302.06,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_554d797e-b024-469d-8244-14a3e72964fe
604,12180,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_1fce831e-8c58-4e66-afcd-53072e66fb8e,,3761.64,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_55485b87-044f-4931-8a11-488ff0973b7a
605,12180,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_27272412-24f5-4926-9da0-0d539426b3b9,,2271.7,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_55485b87-044f-4931-8a11-488ff0973b7a
606,13972,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_73f19e0c-2960-4b17-9306-41c67bafdba8,,-4921.12,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_b82235c7-24d7-4c7b-b626-e543d62e2471
607,13972,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_04507c62-36ec-4bab-8e6e-9aeb780b34f6,,39052.22,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_b82235c7-24d7-4c7b-b626-e543d62e2471
608,658,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_99084d82-51fc-479b-90c0-a7f6ed9376a3,,8335.08,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_74c29902-aa17-4509-84fa-efcca0f1dd77
609,658,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f188c373-1b30-4170-af5a-6f8a43bcd12c,,13636.72,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_74c29902-aa17-4509-84fa-efcca0f1dd77
610,153,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_45ae59cc-3496-4637-86f6-860745b6e7ea,,14.22,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a29e74c8-92d1-46ae-8347-1fc2a4372e30
611,153,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_8c65cc8f-a18e-444c-844d-e8c1bb2230f9,,108.94,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a29e74c8-92d1-46ae-8347-1fc2a4372e30
612,1336,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_c587e445-d300-419c-af19-383466d791f0,,9696.06,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_738a19d6-6401-42ac-8556-75de8c535175
613,1336,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_7605ee95-dd5b-4cad-9a16-851368c0dd4f,,7361.84,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_738a19d6-6401-42ac-8556-75de8c535175
614,1458,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_936c7a3f-1a0a-4919-a666-9e1bd0de7904,,17399.42,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a4d43bae-8549-409e-b531-1c9122d535d1
615,1458,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_262da3ff-3aa1-44f5-8080-373dbe0e86da,,12129.72,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a4d43bae-8549-409e-b531-1c9122d535d1
616,607,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_5967144f-432b-47c2-b14c-402c5c051533,,12327.76,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_27472eb8-8b64-4ca9-82df-c027964608db
